"volcano_number","volcano_name","primary_volcano_type","last_eruption_year","region","latitude","longitude","elevation","tectonic_settings","major_rock_1","num_eruptions"
210010,"West Eifel Volcanic Field","Maar",-8300,"Mediterranean and Western Asia",50.17,6.85,600,"Rift zone / Continental crust (>25 km)","Foidite",2
210020,"Chaine des Puys","Lava dome",-4040,"Mediterranean and Western Asia",45.775,2.97,1464,"Rift zone / Continental crust (>25 km)","Basalt / Picro-Basalt",8
210040,"Calatrava Volcanic Field","Pyroclastic cone",-3600,"Mediterranean and Western Asia",38.87,-4.02,1117,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",1
211003,"Vulsini","Caldera",-104,"Mediterranean and Western Asia",42.6,11.93,800,"Subduction zone / Continental crust (>25 km)","Trachyte / Trachydacite",1
211010,"Campi Flegrei","Caldera",1538,"Mediterranean and Western Asia",40.827,14.139,458,"Subduction zone / Continental crust (>25 km)","Trachyte / Trachydacite",20
211020,"Vesuvius","Stratovolcano",1944,"Mediterranean and Western Asia",40.821,14.426,1281,"Subduction zone / Continental crust (>25 km)","Phono-tephrite /  Tephri-phonolite",61
211030,"Ischia","Complex",1302,"Mediterranean and Western Asia",40.73,13.897,789,"Subduction zone / Continental crust (>25 km)","Trachyte / Trachydacite",24
211040,"Stromboli","Stratovolcano",2020,"Mediterranean and Western Asia",38.789,15.213,924,"Subduction zone / Continental crust (>25 km)","Trachyandesite / Basaltic Trachyandesite",22
211042,"Lipari","Stratovolcano",1230,"Mediterranean and Western Asia",38.49,14.933,590,"Subduction zone / Continental crust (>25 km)","Rhyolite",3
211050,"Vulcano","Stratovolcano",1890,"Mediterranean and Western Asia",38.404,14.962,500,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",46
211060,"Etna","Stratovolcano",2020,"Mediterranean and Western Asia",37.748,14.999,3295,"Subduction zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",241
211070,"Campi Flegrei del Mar di Sicilia","Submarine",1867,"Mediterranean and Western Asia",37.1,12.7,-8,"Rift zone / Continental crust (>25 km)","Trachybasalt / Tephrite Basanite",8
211071,"Pantelleria","Shield",1891,"Mediterranean and Western Asia",36.77,12.02,836,"Rift zone / Continental crust (>25 km)","Rhyolite",9
212020,"Methana","Lava dome",-258,"Mediterranean and Western Asia",37.615,23.336,760,"Subduction zone / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
212030,"Milos","Stratovolcano",140,"Mediterranean and Western Asia",36.699,24.439,751,"Subduction zone / Continental crust (>25 km)","Rhyolite",1
212040,"Santorini","Shield",1950,"Mediterranean and Western Asia",36.404,25.396,367,"Subduction zone / Continental crust (>25 km)","Dacite",13
212050,"Nisyros","Stratovolcano",1888,"Mediterranean and Western Asia",36.586,27.16,698,"Subduction zone / Continental crust (>25 km)","Dacite",4
213004,"Acigol-Nevsehir","Caldera",-2080,"Mediterranean and Western Asia",38.537,34.621,1683,"Intraplate / Continental crust (>25 km)","Rhyolite",5
213010,"Erciyes Dagi","Stratovolcano",-6880,"Mediterranean and Western Asia",38.531,35.447,3864,"Intraplate / Continental crust (>25 km)","Dacite",2
213020,"Nemrut Dagi","Stratovolcano",1650,"Mediterranean and Western Asia",38.654,42.229,2948,"Intraplate / Continental crust (>25 km)","Rhyolite",27
213030,"Tenduruk Dagi","Shield",1855,"Mediterranean and Western Asia",39.356,43.874,3514,"Intraplate / Continental crust (>25 km)","Basalt / Picro-Basalt",2
213040,"Ararat","Stratovolcano",1840,"Mediterranean and Western Asia",39.7,44.3,5165,"Intraplate / Continental crust (>25 km)","Andesite / Basaltic Andesite",5
214010,"Elbrus","Stratovolcano",50,"Mediterranean and Western Asia",43.351,42.442,5642,"Intraplate / Continental crust (>25 km)","Dacite",1
214020,"Kazbek","Stratovolcano",-750,"Mediterranean and Western Asia",42.7,44.5,5050,"Intraplate / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
214070,"Ghegham Volcanic Ridge","Volcanic field",-1900,"Mediterranean and Western Asia",40.283,45,3597,"Intraplate / Continental crust (>25 km)","Andesite / Basaltic Andesite",1
214080,"Vaiyots-Sar","Pyroclastic cone",-2000,"Mediterranean and Western Asia",39.797,45.497,2575,"Intraplate / Continental crust (>25 km)","Andesite / Basaltic Andesite",2
214090,"Porak","Stratovolcano",-778,"Mediterranean and Western Asia",40.028,45.74,3029,"Intraplate / Continental crust (>25 km)","Andesite / Basaltic Andesite",3
221010,"Tair, Jebel at","Stratovolcano",2008,"Africa and Red Sea",15.55,41.83,244,"Rift zone / Oceanic crust (< 15 km)","Trachybasalt / Tephrite Basanite",5
221020,"Zubair Group","Shield",2013,"Africa and Red Sea",15.05,42.18,191,"Rift zone / Oceanic crust (< 15 km)","Basalt / Picro-Basalt",4
221060,"Alu-Dalafilla","Fissure vent",2008,"Africa and Red Sea",13.793,40.553,578,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",1
221080,"Erta Ale","Shield",2020,"Africa and Red Sea",13.6,40.67,613,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",7
221100,"Dubbi","Stratovolcano",1861,"Africa and Red Sea",13.579,41.809,1625,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",4
221112,"Alayta","Shield",1915,"Africa and Red Sea",12.888,40.573,1496,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",2
221113,"Dabbahu","Stratovolcano",2005,"Africa and Red Sea",12.595,40.48,1401,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",4
221115,"Manda Hararo","Shield",2009,"Africa and Red Sea",12.17,40.82,600,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",2
221122,"Manda-Inakir","Fissure vent",1928,"Africa and Red Sea",12.38,42.2,600,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",1
221126,"Ardoukoba","Fissure vent",1978,"Africa and Red Sea",11.58,42.47,298,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",1
221141,"Dama Ali","Shield",1631,"Africa and Red Sea",11.28,41.63,1068,"Rift zone / Intermediate crust (15-25 km)","Basalt / Picro-Basalt",1
221190,"Fentale","Stratovolcano",1820,"Africa and Red Sea",8.975,39.93,2007,"Rift zone / Continental crust (>25 km)","Rhyolite",2
221200,"Kone","Caldera",1820,"Africa and Red Sea",8.788,39.701,1380,"Rift zone / Continental crust (>25 km)","Rhyolite",1
221250,"Tullu Moje","Pyroclastic cone",1900,"Africa and Red Sea",8.159,39.137,2343,"Rift zone / Continental crust (>25 km)","Rhyolite",2
221270,"Alutu","Stratovolcano",-50,"Africa and Red Sea",7.77,38.78,2335,"Rift zone / Continental crust (>25 km)","Rhyolite",1
222030,"Barrier, The","Shield",1921,"Africa and Red Sea",2.32,36.57,1032,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",12
222040,"Namarunu","Shield",-6550,"Africa and Red Sea",1.98,36.43,817,"Rift zone / Continental crust (>25 km)","Basalt / Picro-Basalt",1
222051,"Emuruangogolak","Shield",1910,"Africa and Red Sea",1.5,36.33,1285,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",8
222052,"Silali","Shield",-5050,"Africa and Red Sea",1.15,36.23,1528,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",3
222053,"Paka","Shield",-7550,"Africa and Red Sea",0.92,36.18,1697,"Rift zone / Continental crust (>25 km)","Trachyte / Trachydacite",1
222090,"Olkaria","Pyroclastic cone",1770,"Africa and Red Sea",-0.904,36.292,2434,"Rift zone / Continental crust (>25 km)","Rhyolite",3
222120,"Lengai, Ol Doinyo","Stratovolcano",2020,"Africa and Red Sea",-2.764,35.914,2962,"Rift zone / Continental crust (>25 km)","Foidite",29
